CUTOUT,SEQUENCE_LENGTH,SCORE,IDX
C3_Y5_45,10,0.9865322682063092,16073.0
C3_Y5_45,10,0.9865246561840983,16075.0
C3_Y5_45,10,0.9865244872559698,16074.0
C3_Y5_45,10,0.9865191881506918,16076.0
C3_Y5_45,10,0.986516783810658,16077.0
X3_Y5_28,10,0.9854855808869902,3711.0
C3_Y5_32,10,0.98544905361846,5067.0
C3_Y5_32,10,0.9854485553400886,5066.0
X3_Y5_28,10,0.9853117320949528,3709.0
X3_Y5_28,10,0.9853097311424982,3710.0
X3_Y5_28,10,0.9852915022371844,3707.0
X3_Y5_28,10,0.985274881370782,3706.0
X3_Y5_28,10,0.9852680363895706,3708.0
C3_Y4_28,10,0.9845775126037807,2647.0
X3_Y2_41,10,0.9844475882049756,631.0
C3_Y1_10,10,0.9842314893232166,9274.0
C3_Y1_10,10,0.9840964194477898,9272.0
C3_Y4_28,10,0.9839015197972489,2648.0
C3_Y1_10,10,0.9838629763382921,9273.0
X3_Y1_60,10,0.9837275886652856,5415.0
X3_Y5_51,10,0.9837190794903266,778.0
C3_Y1_10,10,0.9836690961227408,9767.0
C3_Y1_10,10,0.983647021642472,9768.0
C3_Y1_10,10,0.9836407910103063,9769.0
C3_Y1_10,10,0.9836339472070691,9770.0
C3_Y1_10,10,0.9836333757807554,9771.0
C3_Y1_10,10,0.9836311148744599,9772.0
X3_Y5_41,10,0.983487257169301,734.0
E2_Y5_41,10,0.9834835998762603,11138.0
E2_Y1_50,10,0.9834815103297351,6424.0
E2_Y1_50,10,0.9834765564607943,6423.0
E2_Y5_41,10,0.9834389576141742,11140.0
X3_Y5_41,10,0.9834377566954592,732.0
E2_Y5_41,10,0.9834290747698686,11139.0
X3_Y3_51,10,0.9834079410983572,687.0
E2_Y5_41,10,0.9833918654211395,11143.0
X3_Y1_57,10,0.9833645571871437,8778.0
E2_Y1_50,10,0.9833597244650473,6428.0
E2_Y1_50,10,0.9833596488003085,6422.0
X3_Y2_28,10,0.9833544280847221,5764.0
E2_Y1_50,10,0.9833474713662677,6421.0
E2_Y1_50,10,0.9833339883299216,6429.0
E2_Y5_41,10,0.9833227437095517,11141.0
E2_Y5_41,10,0.9833223902132026,11144.0
X3_Y2_28,10,0.9833100942248066,5763.0
X3_Y5_41,10,0.983301813775544,737.0
E2_Y4_24,10,0.9832951555339995,19849.0
